OCC,mission,region,island,site,year,lat,long,zone,depth,calcifiers,coral,cca,macroalgae,encrusting,halimeda,softcoral,turf,sediment,invertebrate,siteG,siteG_lwr,siteG_upr,islandB,islandB_lwr,islandB_upr,G,G_lwr,G_upr,dnta,dnta_lwr,dnta_upr,BCC,CDP,CVI,DHW_2014,DHW_2015,DHW_2016,DHW_2017,last_year_bleached,maxDHW,bleaching
OCC-KUR-016,RA1903,NWHI,Kure,KUR-00050,2019,28.4225,-178.3765,Forereef,Mid,4.761904762,2.380952381,2.380952381,0,0,0,0,91.83673469,3.401360544,0,-0.060884396479999964,-0.16421771423999995,0.05258497429000002,0.0261971962563146,5.97554128716621e-06,0.052388416971342,-0.07398299460815727,-0.19041192272567095,0.05258198651935643,9.223057793598551,9.135058561525511,9.304891041467272,neutral,positive,neutral,10.2999997697771,6.85999984666705,2.26999994926155,1.17999997362494,2015,10.2999997697771,severe
OCC-LIS-002,RA1903,NWHI,Lisianski,LIS-00024,2019,26.07841,-173.9971,Forereef,Mid,48.21428571,40.71428571,7.5,3.214285714,0.714285714,5,0,42.14285714,0.714285714,0,9.039928225750002,8.110178258420001,10.03374961974,0.737175647239661,0.523640804115343,0.950710490363979,8.671340402130172,7.6348230132380115,9.77192921768233,107.19174503786287,104.74516822569467,109.48550936520724,positive,positive,positive,18.2799995914102,2.31999994814396,0,3.97999991104007,2014,18.2799995914102,severe
OCC-BAK-003,HA1801,PRIAs,Baker,BAK-00014,2018,0.20502957,-176.4744473,Forereef,Mid,53.44827586,40,13.44827586,0.344827586,26.89655172,2.75862069,0,15.17241379,1.379310345,0,6.982655172996799,5.2365862073165,9.0247241386905,0.225755266261569,0.164628078698229,0.286882453824908,6.869777539866015,5.093144980404046,8.942410099341386,21.967128172519022,18.36574517715553,25.335757369576186,positive,positive,positive,4.55999989807606,14.7899996694177,13.6799996942282,0,2016,14.7899996694177,severe
OCC-BAK-007,HA1801,PRIAs,Baker,BAK-00050,2018,0.18702,-176.4705,Forereef,Mid,39.236111107,7.291666667,31.94444444,0.347222222,25,19.09722222,0,15.27777778,1.041666667,0,1.4727430555033,1.2061805555009,1.7600694443939002,0.225755266261569,0.164628078698229,0.286882453824908,1.3598654223725155,1.0627393285884459,1.6777554050447858,22.818855491886705,16.36674975011465,28.879438685580226,positive,positive,positive,4.74999989382923,14.7699996698648,13.6799996942282,0,2016,14.7699996698648,severe
OCC-BAK-008,HA1801,PRIAs,Baker,BAK-00002,2018,0.18842,-176.47997,Forereef,Mid,53.1598513,17.84386617,35.31598513,0,27.50929368,1.858736059,0,17.10037175,0.371747212,0,3.2689962827188497,2.34583643137845,4.27007434968145,0.225755266261569,0.164628078698229,0.286882453824908,3.1561186495880653,2.2023952044659962,4.187760310332336,41.58276421942704,36.43680247513703,46.41114477938436,positive,positive,positive,4.74999989382923,14.7699996698648,13.6799996942282,0,2016,14.7699996698648,severe
OCC-BAK-011,HA1801,PRIAs,Baker,BAK-00011,2018,0.19864,-176.48489,Forereef,Mid,57.509157509999994,24.54212454,32.96703297,1.098901099,20.87912088,0,0,19.41391941,0.366300366,0.732600733,4.02236263826355,2.95302197869035,5.2170146531642505,0.225755266261569,0.164628078698229,0.286882453824908,3.9094850051327654,2.8095807517778963,5.134700613815136,77.32940108113219,70.54406823767022,83.719633525051,positive,positive,positive,4.74999989382923,14.7699996698648,13.6799996942282,0,2016,14.7699996698648,severe
OCC-HOW-003,HA1801,PRIAs,Howland,HOW-00012,2018,0.80934,-176.61057,Forereef,Mid,70.34482758,36.89655172,33.44827586,0,14.82758621,3.103448276,0,11.72413793,0,0,3.8813793101224494,3.11472413773955,4.74082758594925,0.258633463110931,0.143083834755387,0.374183091466476,3.752062578566984,2.927632592006312,4.669285668571557,14.694824195013553,10.068109813841147,19.027588781109444,positive,positive,positive,2.54999994300306,12.8999997116625,12.1299997288734,0,2016,12.8999997116625,severe
OCC-HOW-005,HA1801,PRIAs,Howland,HOW-00011,2018,0.79877,-176.62025,Forereef,Mid,33.92226149,14.48763251,19.43462898,0,20.49469965,0,0,43.81625442,1.766784452,0,1.7848763250704,1.5386572438011001,2.0565371024524,0.258633463110931,0.143083834755387,0.374183091466476,1.6555595935149345,1.351565698067862,1.9849951850747065,25.69249522545283,19.659279891840015,31.3568086549717,positive,positive,positive,2.55999994277954,12.7799997143447,12.1699997279793,0,2016,12.7799997143447,severe
OCC-HOW-009,HA1801,PRIAs,Howland,HOW-00014,2018,0.81492,-176.623989,Forereef,Mid,50.34482758,23.44827586,26.89655172,0,13.79310345,0.344827586,0,34.48275862,0.689655172,0.344827586,2.8454137930511,2.4553103447726,3.2965172413295,0.258633463110931,0.143083834755387,0.374183091466476,2.716097061495635,2.2682187990393623,3.2249753239518064,31.513471988239644,22.40960562454802,40.10088478755961,positive,positive,positive,2.54999994300306,12.8999997116625,12.1299997288734,0,2016,12.8999997116625,severe
OCC-JAR-001,HA1801,PRIAs,Jarvis,JAR-00008,2018,-0.36307,-159.99115,Forereef,Mid,26.8707483,0,26.8707483,9.183673469,42.5170068,6.12244898,0,15.30612245,0,0,-0.02433673470765,-0.04583333334524999,-1.5306124034999806e-4,0.474115965443238,0.386920525659669,0.561311405226807,-0.261394717429269,-0.3264890359586535,-0.1936133240701845,36.386815247259925,21.414883823066248,50.63232682413491,negative,positive,neutral,0.30999999307096,29.87999933213,30.129999326542,0,2016,30.129999326542,severe
OCC-JAR-008,HA1801,PRIAs,Jarvis,JAR-00004,2018,-0.38241000000000003,-160.00293,Forereef,Mid,28.22299652,0,28.22299652,1.393728223,39.02439024,0,0,31.35888502,0,0,-0.09815331008655001,-0.12073170729775001,-0.07275261322394999,0.474115965443238,0.386920525659669,0.561311405226807,-0.33521129280816897,-0.4013874099111535,-0.2662128760537845,42.06958760784255,22.530064288776884,60.7866221301374,negative,positive,neutral,0.30999999307096,29.7199993357062,29.9399993307889,0,2016,29.9399993307889,severe
